period_start,ticker,risk_profile,actual_sharpe,actual_fwd_vol,classification_correct,split
2024-07-01,CICH,,2.2290792093356058,0.30195140838623047,,test
2024-07-01,CIEB,,4.233949259503286,0.2757778465747833,,test
2024-07-01,CIRA,,0.41343810024257266,0.17123885452747345,,test
2024-07-01,CLHO,,-0.9708276432662434,0.28727197647094727,,test
2024-07-01,COMI,conservative,4.788034452970726,0.1838124543428421,1.0,test
2024-07-01,DSCW,,3.072946298982435,0.21795931458473206,,test
2024-07-01,EAST,balanced,6.812829980963181,0.3637329638004303,0.0,test
2024-07-01,EFID,conservative,-1.2400776287754025,0.11785168945789337,1.0,test
2024-07-01,EFIH,aggressive,5.190677793659756,0.38024911284446716,1.0,test
2024-07-01,EGAL,,4.169072397813573,0.4394555687904358,,test
2024-07-01,EGCH,,6.3867811051076835,0.3113270699977875,,test
2024-07-01,EGTS,,0.19372213380178047,0.20927180349826813,,test
2024-07-01,EMFD,,2.308523107638303,0.40866225957870483,,test
2024-07-01,ETEL,conservative,5.250688093113374,0.20270442962646484,1.0,test
2024-07-01,EXPA,,3.0741608724147556,0.27052271366119385,,test
2024-07-01,FAIT,conservative,-0.10973263621651416,0.13979418575763702,1.0,test
2024-07-01,FAITA,,4.102448728030224,0.04727509617805481,,test
2024-07-01,FWRY,aggressive,2.8646629793722007,0.24408696591854095,0.0,test
2024-07-01,GBCO,balanced,-0.3950267197619177,0.5827515721321106,0.0,test
2024-07-01,GDWA,,5.829155942414224,0.3227427899837494,,test
2024-07-01,HDBK,,2.0066026113727324,0.16846910119056702,,test
2024-07-01,HELI,balanced,0.6900279046463572,0.19158592820167542,0.0,test
2024-07-01,HRHO,balanced,2.0022770884560064,0.41713598370552063,0.0,test
2024-07-01,IRON,,11.742246138460938,0.636580228805542,,test
2024-07-01,ISPH,aggressive,1.365906493774953,0.2722020447254181,0.0,test
2024-07-01,JUFO,aggressive,2.141410508755419,0.5291035175323486,1.0,test
2024-07-01,MASR,balanced,3.268130691260895,0.24763250350952148,1.0,test
2024-07-01,MCQE,,7.375031654665883,0.4246985614299774,,test
2024-07-01,MFPC,balanced,0.9144364078735866,0.25986722111701965,1.0,test
2024-07-01,MTIE,,0.9907722153091754,0.4037628769874573,,test
2024-07-01,OCDI,,-3.5951097508552263,0.21162591874599457,,test
2024-07-01,OFH,,4.108253313884788,0.3223210871219635,,test
2024-07-01,OIH,,4.4501068942044135,0.3334917426109314,,test
2024-07-01,ORAS,conservative,-1.8448003415505498,0.19576570391654968,1.0,test
2024-07-01,ORHD,aggressive,2.5411214646154536,0.45266881585121155,1.0,test
2024-07-01,ORWE,aggressive,1.8413711255985843,0.2935539484024048,0.0,test
2024-07-01,PHAR,conservative,-1.9091352018540826,0.18669810891151428,1.0,test
2024-07-01,PHDC,aggressive,3.2107305754877795,0.3554115295410156,0.0,test
2024-07-01,PRDC,,1.3828357355625462,0.31559187173843384,,test
2024-07-01,QNBE,,-1.4639380256576775,0.21022868156433105,,test
2024-07-01,RAYA,,1.9386619636434428,0.5286346673965454,,test
2024-07-01,RMDA,,-2.924848847683347,0.21225988864898682,,test
2024-07-01,SKPC,balanced,-0.4928092192226051,0.21980799734592438,0.0,test
2024-07-01,SPMD,,4.178690151855533,0.23746690154075623,,test
2024-07-01,SUGR,conservative,-0.6271921739561116,0.3080746829509735,0.0,test
2024-07-01,SWDY,aggressive,0.0974578527180708,0.36422407627105713,1.0,test
2024-07-01,TALM,,3.0762526222180817,0.40043845772743225,,test
2024-07-01,TMGH,aggressive,-0.458924236589276,0.29582712054252625,0.0,test
2024-07-01,VLMR,,1.8864946243099388,0.22795672714710236,,test
2024-07-01,VLMRA,,4.180394126011009,0.29666605591773987,,test
2025-01-01,ABUK,conservative,4.833147942372304,0.3227667212486267,0.0,test
2025-01-01,ADIB,conservative,0.16533054899247557,0.2818717062473297,0.0,test
2025-01-01,ALCN,balanced,0.33849345568072275,0.25076109170913696,0.0,test
2025-01-01,AMOC,conservative,2.6720111614661874,0.39076802134513855,0.0,test
2025-01-01,ARCC,,2.5518395347907785,0.7759851813316345,,test
2025-01-01,ASPI,,2.4284541532877117,0.3802964389324188,,test
2025-01-01,BINV,,-2.2885507428963647,0.23691266775131226,,test
2025-01-01,BTFH,aggressive,-0.588498028656532,0.33704715967178345,1.0,test
2025-01-01,CCAP,aggressive,5.186073338433044,0.4218719005584717,1.0,test
2025-01-01,CICH,,1.2472929321019912,0.2435784637928009,,test
2025-01-01,CIEB,balanced,-1.0322929530329303,0.15397055447101593,0.0,test
2025-01-01,CIRA,,3.51454311058788,0.4524032473564148,,test
2025-01-01,CLHO,,1.3850146961115926,0.26497992873191833,,test
2025-01-01,COMI,conservative,-1.817138563655672,0.18339113891124725,1.0,test
2025-01-01,DSCW,,4.1608204209890225,0.5109630823135376,,test
2025-01-01,EAST,balanced,-1.4784768788875728,0.27705833315849304,1.0,test
2025-01-01,EFID,conservative,1.2309242495466783,0.23440800607204437,1.0,test
2025-01-01,EFIH,balanced,-1.7344519358991273,0.27504774928092957,1.0,test
2025-01-01,EGAL,balanced,5.95685934843041,0.6265230178833008,0.0,test
2025-01-01,EGCH,,5.136488650545419,0.4920940399169922,,test
2025-01-01,EGTS,,1.6202055308646053,0.3776664435863495,,test
2025-01-01,EMFD,aggressive,-3.907436187602549,0.29839640855789185,0.0,test
2025-01-01,ETEL,conservative,0.9681173072729742,0.23737777769565582,1.0,test
2025-01-01,EXPA,,-3.9729048219843492,0.15316350758075714,,test
2025-01-01,FAIT,,-1.9644756221596593,0.07125584781169891,,test
2025-01-01,FAITA,,-0.7806498134309928,0.14299455285072327,,test
2025-01-01,FWRY,aggressive,-0.43687468563396853,0.2582188844680786,0.0,test
2025-01-01,GBCO,aggressive,-1.2881386157290535,0.28717148303985596,0.0,test
2025-01-01,GDWA,,1.1464578798658125,0.4392401874065399,,test
2025-01-01,HDBK,,-2.486423033910442,0.16651685535907745,,test
2025-01-01,HELI,,4.525519644291672,0.46185117959976196,,test
2025-01-01,HRHO,aggressive,2.1017210410702085,0.26937100291252136,0.0,test
2025-01-01,IRON,,0.8354647423076769,0.26881879568099976,,test
2025-01-01,ISPH,aggressive,-0.35416102331169613,0.4875320494174957,1.0,test
2025-01-01,JUFO,balanced,2.3403165184054706,0.3088722825050354,1.0,test
2025-01-01,MASR,balanced,2.8508212350065154,0.27787283062934875,1.0,test
2025-01-01,MCQE,,4.238886974770822,0.5626258850097656,,test
2025-01-01,MFPC,conservative,3.9428003187860003,0.2744191884994507,0.0,test
2025-01-01,MTIE,,-2.486554877536577,0.44214364886283875,,test
2025-01-01,OCDI,,0.952215832633117,0.5779056549072266,,test
2025-01-01,OFH,,2.549064458752682,0.5032330751419067,,test
2025-01-01,OIH,,-1.619036950287834,0.3609461486339569,,test
2025-01-01,ORAS,conservative,-2.9567021545283843,0.27410703897476196,1.0,test
2025-01-01,ORHD,aggressive,-1.2998453482498493,0.35090914368629456,1.0,test
2025-01-01,ORWE,balanced,0.10122447342110692,0.473247766494751,0.0,test
2025-01-01,PHAR,conservative,-0.7960024397399105,0.21848687529563904,1.0,test
2025-01-01,PHDC,aggressive,-0.16086200866954667,0.34298035502433777,1.0,test
2025-01-01,PRDC,,3.0845471561547932,0.24553006887435913,,test
2025-01-01,QNBE,,-2.053555813463352,0.20251397788524628,,test
2025-01-01,RAYA,,-1.9301043440396908,0.3879929184913635,,test
2025-01-01,RMDA,aggressive,2.8186446561891745,0.4701724648475647,1.0,test
2025-01-01,SKPC,balanced,2.0015490031782974,0.29770296812057495,1.0,test
2025-01-01,SPMD,,2.9938698118955536,0.5552102327346802,,test
2025-01-01,SUGR,,1.4879953409605025,0.26622432470321655,,test
2025-01-01,SWDY,,1.4434713055958006,0.5438511371612549,,test
2025-01-01,TALM,,3.938213989327937,0.4128890335559845,,test
2025-01-01,TMGH,balanced,-1.0177121448362547,0.42881646752357483,0.0,test
2025-01-01,VLMR,,-1.2416268428083095,0.1455124467611313,,test
2025-01-01,VLMRA,,-0.029214598256899687,0.2684626579284668,,test
2025-07-01,ABUK,conservative,0.4877895310801744,0.2496567964553833,0.0,test
2025-07-01,ADIB,balanced,1.3463812902158359,0.2997131049633026,1.0,test
2025-07-01,ALCN,conservative,-8.623716873121108,0.17262066900730133,1.0,test
2025-07-01,AMOC,conservative,-0.7710537334585732,0.2534077763557434,0.0,test
2025-07-01,ARCC,,1.5242729550807546,0.41444334387779236,,test
2025-07-01,ASPI,,4.55865988058791,0.4389951825141907,,test
2025-07-01,BINV,,-4.590380596957557,0.8182324767112732,,test
2025-07-01,BTFH,aggressive,-2.9494028720319196,0.5370435118675232,1.0,test
2025-07-01,CCAP,aggressive,2.26858426084152,0.3748025894165039,1.0,test
2025-07-01,CICH,,2.704016986236612,0.4071737825870514,,test
2025-07-01,CIEB,conservative,2.3232396683976124,0.21836137771606445,1.0,test
2025-07-01,CIRA,,0.6512706644942737,0.11986285448074341,,test
2025-07-01,CLHO,,-2.2172590259215563,0.32693949341773987,,test
2025-07-01,COMI,conservative,5.405635800869755,0.2299368530511856,1.0,test
2025-07-01,DSCW,,0.8097786643476094,0.45600101351737976,,test
2025-07-01,EAST,balanced,5.988268668427666,0.31119421124458313,0.0,test
2025-07-01,EFID,balanced,6.62228343407684,0.4742649495601654,0.0,test
2025-07-01,EFIH,aggressive,-1.5164786425903376,0.283201664686203,0.0,test
2025-07-01,EGAL,balanced,1.8060865165614501,0.29385021328926086,1.0,test
2025-07-01,EGCH,,6.051251205915416,0.5965843796730042,,test
2025-07-01,EGTS,,-3.9077485175253854,0.17023371160030365,,test
2025-07-01,EMFD,balanced,-5.128495936418712,0.21549351513385773,0.0,test
2025-07-01,ETEL,balanced,3.292777915852952,0.3560507297515869,0.0,test
2025-07-01,EXPA,,-2.9576820694470864,0.10705716907978058,,test
2025-07-01,FAIT,,-4.3501029380476375,0.13153380155563354,,test
2025-07-01,FAITA,,-0.581087918378937,0.08411788195371628,,test
2025-07-01,FWRY,aggressive,2.164994309108943,0.3519675135612488,1.0,test
2025-07-01,GBCO,aggressive,2.852075917437157,0.40768977999687195,1.0,test
2025-07-01,GDWA,,-1.520846937505619,0.29861894249916077,,test
2025-07-01,HDBK,,-0.33017087521055727,0.24991337954998016,,test
2025-07-01,HELI,,0.6491778729772247,0.2476120889186859,,test
2025-07-01,HRHO,aggressive,-5.332823145407178,0.24558983743190765,0.0,test
2025-07-01,IRON,,-2.694965243819972,0.4447895884513855,,test
2025-07-01,ISPH,aggressive,3.601497926301987,0.2829228341579437,0.0,test
2025-07-01,JUFO,aggressive,3.4988377421994876,0.2395632117986679,0.0,test
2025-07-01,MASR,conservative,-0.10490568465446914,0.2522348463535309,0.0,test
2025-07-01,MCQE,,6.803641210231759,0.8187427520751953,,test
2025-07-01,MFPC,conservative,1.7523530167786565,0.23591060936450958,1.0,test
2025-07-01,MTIE,,1.6569752846154742,0.2812823951244354,,test
2025-07-01,OCDI,,-1.2130561772283086,0.25152888894081116,,test
2025-07-01,OFH,,3.91891304925262,0.6906012296676636,,test
2025-07-01,OIH,,2.2491318304726424,0.7671647667884827,,test
2025-07-01,ORAS,conservative,7.202921882094251,0.290227472782135,0.0,test
2025-07-01,ORHD,aggressive,1.1405146677353029,0.318567156791687,1.0,test
2025-07-01,ORWE,conservative,-5.095250090287547,0.16840492188930511,1.0,test
2025-07-01,PHAR,balanced,-0.2208052233256735,0.21557560563087463,0.0,test
2025-07-01,PHDC,aggressive,-3.7892487613727126,0.31417304277420044,1.0,test
