semiannual_start,ticker,rl_risk_score,risk_profile,split
2022-09-07,HRHO,-1.3846715937058132,conservative,train
2022-09-07,IRON,-1.030371407667796,balanced,train
2022-09-07,ISPH,2.235718846321106,aggressive,train
2022-09-07,JUFO,0.07402018706003825,balanced,train
2022-09-07,MASR,2.612438519795736,aggressive,train
2022-09-07,MCQE,-1.8634767830371857,conservative,train
2022-09-07,MFPC,-2.7410413026809692,conservative,train
2022-09-07,MTIE,3.0773640871047974,aggressive,train
2022-09-07,OCDI,-1.2271985361973445,balanced,train
2022-09-07,OFH,0.7456039115786552,balanced,train
2022-09-07,OIH,-0.501999362061421,balanced,train
2022-09-07,ORAS,-2.2082162698109946,conservative,train
2022-09-07,ORHD,2.3755552172660828,aggressive,train
2022-09-07,ORWE,-1.467772861321767,conservative,train
2022-09-07,PHAR,-2.8910133441289267,conservative,train
2022-09-07,PHDC,0.6429072581231594,balanced,train
2022-09-07,PRDC,-2.4308595657348633,conservative,train
2022-09-07,QNBE,0.21632111693422,balanced,train
2022-09-07,RAYA,3.019153118133545,aggressive,train
2022-09-07,RMDA,-0.8884949199855328,balanced,train
2022-09-07,SKPC,-1.3724628289540608,conservative,train
2022-09-07,SPMD,2.287986079851786,aggressive,train
2022-09-07,SUGR,1.7859051724274952,aggressive,train
2022-09-07,SWDY,-0.4261890798807144,balanced,train
2022-09-07,TALM,2.6899722814559937,aggressive,train
2022-09-07,TMGH,-1.797074834505717,conservative,train
2022-09-07,VLMR,-3.1764734586079917,conservative,train
2022-09-07,VLMRA,0.5916074564059576,balanced,train
2023-03-08,ABUK,-1.9780626893043518,conservative,train
2023-03-08,ADIB,1.3945980072021484,aggressive,train
2023-03-08,ALCN,2.9495596885681152,aggressive,train
2023-03-08,AMOC,1.2425061166286469,balanced,train
2023-03-08,ARAB,0.6528753507882357,balanced,train
2023-03-08,ARCC,0.7401227056980133,balanced,train
2023-03-08,ASPI,0.22449065744876862,balanced,train
2023-03-08,BINV,1.5410858541727066,aggressive,train
2023-03-08,BTFH,3.0887198448181152,aggressive,train
2023-03-08,CCAP,3.003672957420349,aggressive,train
2023-03-08,CICH,0.00011672079563140869,balanced,train
2023-03-08,CIEB,1.6632846966385841,aggressive,train
2023-03-08,CIRA,-1.9787618219852448,conservative,train
2023-03-08,CLHO,-0.9701401442289352,conservative,train
2023-03-08,COMI,-2.318978428840637,conservative,train
2023-03-08,DSCW,1.2567631304264069,balanced,train
2023-03-08,EAST,1.1199215706437826,balanced,train
2023-03-08,EFID,-1.3820236027240753,conservative,train
2023-03-08,EFIH,-1.117620661854744,conservative,train
2023-03-08,EGAL,1.0286372900009155,balanced,train
2023-03-08,EGCH,2.4511385560035706,aggressive,train
2023-03-08,EGTS,1.1355585753917694,balanced,train
