quarter_start,ticker,rl_risk_score,risk_profile,split
2022-12-06,CCAP,4.208348751068115,aggressive,train
2022-12-06,CICH,-3.2261246840159097,conservative,train
2022-12-06,CIEB,-0.8861098289489746,balanced,train
2022-12-06,CIRA,-3.402268409729004,conservative,train
2022-12-06,CLHO,-3.209637721379598,conservative,train
2022-12-06,COMI,-3.4111742973327637,conservative,train
2022-12-06,DSCW,4.214405059814453,aggressive,train
2022-12-06,EAST,-1.8825800617535908,balanced,train
2022-12-06,EFID,-2.4940856297810874,balanced,train
2022-12-06,EFIH,3.284723162651062,aggressive,train
2022-12-06,EGAL,2.924216409524282,balanced,train
2022-12-06,EGCH,4.158452828725179,aggressive,train
2022-12-06,EGTS,1.6434080402056377,balanced,train
2022-12-06,EMFD,-2.674071510632833,conservative,train
2022-12-06,ETEL,-2.6626784602801004,conservative,train
2022-12-06,EXPA,-3.513280153274536,conservative,train
2022-12-06,FAIT,-2.829049309094747,conservative,train
2022-12-06,FAITA,-3.789472500483195,conservative,train
2022-12-06,FWRY,4.181933244069417,aggressive,train
2022-12-06,GBCO,4.172079722086589,aggressive,train
2022-12-06,GDWA,3.6095741589864097,aggressive,train
2022-12-06,HDBK,-3.080296834309896,conservative,train
2022-12-06,HELI,3.90181557337443,aggressive,train
2022-12-06,HRHO,-3.402858257293701,conservative,train
2022-12-06,IRON,-2.517583211263021,balanced,train
2022-12-06,ISPH,4.184584617614746,aggressive,train
2022-12-06,JUFO,-1.9415534337361653,balanced,train
2022-12-06,MASR,4.213480472564697,aggressive,train
2022-12-06,MCQE,-3.61000386873881,conservative,train
2022-12-06,MFPC,-3.771578550338745,conservative,train
2022-12-06,MTIE,4.164967854817708,aggressive,train
2022-12-06,OCDI,-1.829530914624532,balanced,train
2022-12-06,OFH,1.7554857730865479,balanced,train
2022-12-06,OIH,-1.6125493446985881,balanced,train
2022-12-06,ORAS,-3.5662434895833335,conservative,train
2022-12-06,ORHD,3.7414451440175376,aggressive,train
2022-12-06,ORWE,-1.7100015083948772,balanced,train
2022-12-06,PHAR,-3.7863999207814536,conservative,train
2022-12-06,PHDC,1.1735498905181885,balanced,train
2022-12-06,PRDC,-3.534939686457316,conservative,train
2022-12-06,QNBE,-0.1547193924585978,balanced,train
2022-12-06,RAYA,4.256318251291911,aggressive,train
2022-12-06,RMDA,-3.087247451146444,conservative,train
2022-12-06,SKPC,1.4079341888427734,balanced,train
2022-12-06,SPMD,3.359097957611084,aggressive,train
2022-12-06,SUGR,1.8577533960342407,balanced,train
2022-12-06,SWDY,2.0167332887649536,balanced,train
2022-12-06,TALM,4.180037021636963,aggressive,train
2022-12-06,TMGH,-3.2825844287872314,conservative,train
2022-12-06,VLMR,-3.8039864699045816,conservative,train
2022-12-06,VLMRA,1.3145180543263753,balanced,train
2023-03-08,ABUK,-3.770333687464396,conservative,train
2023-03-08,ADIB,3.589751879374186,aggressive,train
2023-03-08,ALCN,3.9778570334116616,aggressive,train
2023-03-08,AMOC,1.8207953770955403,balanced,train
2023-03-08,ARAB,-0.7872358759244283,balanced,train
2023-03-08,ARCC,0.4288351933161418,balanced,train
2023-03-08,ASPI,0.5192494789759318,balanced,train
2023-03-08,BINV,1.207586367925008,balanced,train
